"","Area","Velocity","Points","Class","State"
"736",0.086223,0.583020809,0.127868853,4,NA
"737",0.088176876,0.708736446,0.049180328,4,NA
"739",0.160341431,0.623766323,0.216393443,4,NA
"740",0.050119858,0.664791138,0.062295083,4,NA
"741",0.138041887,0.655204504,0.049180328,4,NA
"742",0.01265738,0.581189707,0.052459017,4,NA
"743",0.144285625,0.576604996,0.160655739,4,NA
"744",0.111665278,0.670067727,0.013114755,4,NA
"745",0.054069977,0.580222003,0.042622952,4,NA
"746",0.312781028,0.415473746,0.186885247,4,NA
"747",0.255144315,0.515711557,0.360655738,4,NA
"748",0.095057731,0.617001674,0.137704919,4,NA
"749",0.052031206,0.539128812,0.186885247,4,NA
"750",0.040520588,0.53751327,0.13442623,4,NA
"751",0.145177588,0.522054358,0.121311476,4,NA
"752",0.025866916,0.561198236,0.180327869,4,NA
"753",0.023700721,0.519640316,0.186885247,4,NA
"754",0.072079022,0.516425456,0.216393443,4,NA
"755",0.134431509,0.629975847,0.35737705,4,NA
